Life Time Winter Park — Club Experience Audit (Dummy v1),,,,,,,,,,,,,
Question ID,Audit Category,Sub-Category,Question / Checklist Item,Response Type,Pass Criteria,Weight (pts),Generate Task?,Task Title (if flagged),Task Assignee Role,Task Due (days),Task Priority,Notes / Reference,Active?
ARR-001,Arrival & Lobby,First Impression,Front desk staffed and member greeted within 10 seconds of entry,Pass/Fail,Member acknowledged within 10s,3,Yes,Front desk greeting standard not met,Club Operations,2,Medium,Member Experience Playbook §1,Yes
ARR-002,Arrival & Lobby,Cleanliness,"Lobby floors, glass, and seating are clean and free of clutter",Pass/Fail,"No visible debris, smudges, or clutter",2,Yes,Deep clean lobby area,Housekeeping,1,Medium,Cleanliness Std §2.1,Yes
ARR-003,Arrival & Lobby,Digital Signage,Lobby signage / member app screens are powered on and displaying current content,Pass/Fail,All screens live with current content,2,Yes,Restore lobby signage display,Club Facility Specialists & Engineers,2,Medium,AV Standards,Yes
FIT-001,Fitness Floor,Equipment Condition,% of cardio machines fully operational (no out-of-service tags),Percentage,≥ 95%,5,Yes,Repair out-of-service cardio equipment,Club Facility Specialists & Engineers,3,High,Equipment Uptime SLA,Yes
FIT-002,Fitness Floor,Equipment Condition,"Strength machines have intact cables, pads, and pins",Pass/Fail,No frayed cables or torn pads,5,Yes,Repair/replace damaged strength equipment,Club Facility Specialists & Engineers,3,High,Equipment Safety Std,Yes
FIT-003,Fitness Floor,Cleanliness,Sanitizing wipe stations stocked and functional across the floor,Pass/Fail,All stations stocked,2,Yes,Restock sanitizing wipe stations,Housekeeping,1,Medium,Cleanliness Std §3,Yes
FIT-004,Fitness Floor,Member Experience,Free weights and benches re-racked and orderly,Rating (1-5),≥ 4 of 5,2,Yes,Re-rack and organize free weight area,Fitness,1,Low,Floor Standards,Yes
LOC-001,Locker Rooms,Cleanliness,"Showers, vanities, and floors clean and dry; no standing water",Pass/Fail,"Clean, dry, no standing water",3,Yes,Address locker room cleanliness,Housekeeping,1,High,Cleanliness Std §4,Yes
LOC-002,Locker Rooms,Amenities,"Towels, toiletries, and hair dryers stocked and working",Pass/Fail,All amenities stocked and functional,2,Yes,Restock locker room amenities,Housekeeping,1,Medium,Amenity Standards,Yes
LOC-003,Locker Rooms,Facility,Steam room / sauna operating within target temperature,Temperature,Sauna 160–190°F; steam 110–120°F,4,Yes,Service sauna/steam room temperature,Club Facility Specialists & Engineers,2,High,Wellness Equipment Guide,Yes
